id,name,layer,lat,lon
042704ef0029fc0e8510db80197a3c5b10648f208fd2ca6e8d49726b0bc33019,Punta Loyola [AR],"['port', 'storage']",-51.60708718,-69.01944089
0427e0f9d52b38c1a98b68c59b8fd80cb1c508e44882e96611e48ef5b140d927,Middle East Gulf (MEG),['shipping_region_v2'],26.29174524,51.15270426
044bfdb37add04555df97a12985040e2e6e68d4f648ddd0e930aa3622562b399,Anqing [CN],"['port', 'storage']",30.50565989,117.0923566
045d7b9d968b8cd61b9507db02f97370f7782ebe7ab793008e67592a18acd3d0,New Mangalore [IN],"['port', 'storage']",12.92197384,74.78941506
04bf8fba5385f02dfb5496e8158128643f1a6763badad363ee901b2e36faf09e,Gio Linh Tanks,['storage_terminal'],16.11144166,108.2055694
05499a39af5f8c6c461df37ccc9f1b5a844c1d0849d8f62e76a51f8eeb68c518,Hamedan Oil Depot,['storage_terminal'],37.47765198,49.46388398
054d778474dc6cfe7b0c73c8471add94bc725576963849011ccecebbf693cdc3,Daqing Oil Field Company (Nansan),['storage_terminal'],46.26252313,124.7964478
0555c116694c0623352caddf1c5fcd7d45b70605b6ddb7a0a55793a85439b906,Angra dos Reis (Tebig) [BR],"['port', 'storage']",-23.06116671,-44.22835789
056054a06d321e21ac868558a099751b324b675e05c11df7c041c8ad0edf5445,Dalian [CN],"['port', 'storage']",39.04722374,121.6888112
0562134cad328b5599b4318b39c691e819f9fc0a1c9162fb5c60d2cb631d6f82,Duba [SA],"['port', 'storage']",27.32044164,35.73648826
056b01f76bcf2ddef4cefabfbe08e33a7fecb4ff71c6a2cdf853de91e9340f7c,East Kalimantan,['storage_terminal'],-1.165611257,116.7722943
057367aecd8bb1b1456c745f735ce7f68478d5b10fbe00e824b4444fe25d8941,PetroPar SA Villa Elisa,['storage_terminal'],-25.3896052,-57.60553744
057f36b90d7941e3e48e5a34d4b5550602d70092a5bd88e874bbe157b296db6d,Petromil S.A (Candelaria),['storage_terminal'],10.33029925,-75.51184902
0590d4df2c0a06261c81883d74a0617c5ae92792177bbb85762dea643a1cefdc,Shahr-e Qods Oil Depot,['storage_terminal'],36.65399158,51.50586705
0591589c5644e2230d22265e3ab62e3427ef4b6818ccd63a4c9403e24b92c2bb,Jose Terminal [VE],"['port', 'storage']",10.11354194,-64.86980438
05e13c73260ee71ec7ebc266005e5304acdc82e6bf99ac4e83b7e85a658d713e,Agioi Theodoroi [GR],"['port', 'storage']",37.91779591,23.04445232
05e49b033680bb9e1f72ecaeb4a1b0cbfc00e76c84a08af1c368808217959006,Beaumont Refinery,['storage_terminal'],30.05292039,-94.0484002
05fd5acdf2b282a7c6b447c0064caa0329c7ca56b71b71543c8aea0839149da5,Dushanzi SPR,['storage_terminal'],44.37674811,84.89032745
061471eec4bff10ab8bfbe18e436e85f062ff75dbd955d7caf8ef60e2e2d57be,ANCAP Terminal Maritimo de La Teja,['storage_terminal'],-34.88705743,-56.22013092
064f76fc29ab34b0083ec9ee29f4d78a47ba4fb5ccb40a7492bbd3b605ddb410,Dongying Lianheshihua,['storage_terminal'],38.10225791,118.9829343
065aab207e6fe875caf93419bd6cfedcbb0933098c75e52a6702b75bdfe71c53,Philippines,"['country', 'trading_subregion']",12.16406807,122.232222
067057e0f68afb24340dea74064e54eb46724185af01534e227cc8f9749ac813,Engen Namibia,['storage_terminal'],-22.94856616,14.4959859
067bbafe024278b7db836b7136795eb36a591d358fe54bb7d18bc79dfa95de5e,Raffineria di Trecate,['storage_terminal'],44.40876438,8.870259479
